1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,23,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,102,104,106,109,110,114,115,116,117,120,121,156,157,158,159;113,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,103,105,107,111,112,122,123,158,159;77,78,79,80,81,82,83,84,85,86,87,88,89,35,36,37,38,39,40,41,42,98,99,100,101,49,50,51,52,53,118,119;131,132;133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,150,151,152,153,154,155
ID,Test_Name,Tag,Script_Actual,Script_Expected,Type
1,Truncate local CAG,Setup,input\DeleteCag.sql,,Static
2,Truncate local STG,Setup,input\DELETE_dbmSemanticAnalyticsSTG.sql,,Static
3,Truncate local DWH,Setup,input\Delete_dbmSemanticAnalytics.sql,,Static
4,Load data to CAG,Setup,input\DataLoadingPhase1.SQL,,Static
5,Set SLR Local,Setup,input\SetSLRLocal.sql,,Static
6,Run sync job,Setup,LoadJob.sql,,Static
7,Test Analytics_Encounters,Test,output\Anal_DWH_check.sql,Static_INSERT_Encounters.txt,Static
8,Test Persist_Imaging,Test,output\Img_Out_Persist_check.sql,Static_ImgOutputPersistStep1.txt,Static
9,Test Analytics_Patients,Test,output\Patient_DWH.sql,output\Patient_CAG.sql,Dynamic
10,Test Analytics_Providers,Test,output\Provider_DWH.sql,output\Provider_CAG.sql,Dynamic
11,Test Readmissions,Test,output\ReadmissionsOutputStep1.sql,Static_ReadmissionsOutputStep1.txt,Static
12,Test ReadmissionRate,Test,output\ReadmissionRateMDX.sql,output\ReadmissionRateDWH.sql,Dynamic
13,Test PCP,Test,output\Output_PCP.sql,Static_Output_PCP.txt,Static
14,Test PCPOrg,Test,output\Output_PatientRelationOrg.sql,Static_Output_PatientRelationOrg.txt,Static
15,Test ReadmissionRateCohort,Test,output\ReadmissionRateCohortMDX.sql,output\ReadmissionRateCohortDWH.sql,Dynamic
16,Test ReadmissionRateOrg,Test,output\ReadmissionRateOrgMDX.sql,output\ReadmissionRateOrgDWH.sql,Dynamic
17,Test FUVRate,Test,output\FUVRateMDX.sql,output\FUVRateDWH.sql,Dynamic
18,Test LOS_OUT_Rate,Test,output\LOS_OUT_MDX.sql,output\LOS_OUT_DWH.sql,Dynamic
19,Test FUV_Out_Rate,Test,output\FUV_Out_MDX.sql,output\FUV_Out_DWH.sql,Dynamic
20,Test reRate_Out,Test,output\reRate_Out_MDX.sql,output\reRate_Out_DWH.sql,Dynamic
21,Test admited_rate_out,Test,output\admited_rate_out_MDX.sql,output\admited_patient_rate_out_DWH.sql,Dynamic
22,Test ReRate In DTR,Test,output\RERateInDtrSQL.sql,output\RERateInDtrMDX.sql,Dynamic
