MetricKey,SequenceId,OperatorId,BuildingBlockKey,MetricElementType
1,1,103,-1,1030
1,2,3,3,1030
1,3,102,-1,1030
1,4,3,4,1030
1,5,104,-1,1030
1,6,101,-1,1030
1,7,4,2,1030
1,1,3,3,1040
2,1,103,-1,1030
2,2,3,3,1030
2,3,102,-1,1030
2,4,3,1,1030
2,5,104,-1,1030
2,6,105,-1,1030
2,7,3,2,1030
2,1,3,3,1040
2,2,102,-1,1040
2,3,3,1,1040
3,1,3,1,1030
3,2,101,-1,1030
3,3,3,2,1030
3,1,3,4,1040
3,2,102,-1,1040
3,3,3,2,1040
3,4,102,-1,1040
3,5,3,3,1040
3,6,102,-1,1040
3,7,3,1,1040
4,1,3,4,1030
4,1,3,4,1040
4,2,102,-1,1040
4,3,3,2,1040
4,4,102,-1,1040
4,5,3,3,1040
4,6,102,-1,1040
4,7,3,1,1040
